Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.21990878931806304,0.33736192996546177,0.24824172941023057,0.19448755130624462
1,0.1976428285863784,0.24403297032067267,0.3839585373636149,0.17436566372933385
2,0.24408068431367486,0.28516769138403064,0.29548264889130005,0.17526897541099454
3,0.25122738633890307,0.28375730879933714,0.35341340524978937,0.11160189961197046
4,0.2120910489068542,0.3557629955169972,0.2541992629979837,0.17794669257816495
5,0.19344858426437705,0.25459400135475313,0.39102070374315767,0.1609367106377123
6,0.20934835380518585,0.26774557553344186,0.35611008207872613,0.16679598858264616
7,0.18045096201168698,0.25710556301607834,0.4298210558531938,0.13262241911904074
8,0.12478776435140058,0.1359188995274299,0.6401264036409207,0.09916693248024863
9,0.16276004918625733,0.27377707519158706,0.38113035707832876,0.18233251854382693
10,0.10487072941004781,0.21329233743255646,0.4177856602777307,0.2640512728796651
11,0.1706775640990059,0.2367090186523778,0.41787585129065485,0.1747375659579615
12,0.22937564518824932,0.2797666606221603,0.4377166037364699,0.053141090453120536
13,0.1637324465204868,0.2557208881056289,0.37984365216001414,0.20070301321387035
14,0.31424109756689916,0.42983951925883873,0.20544242411697225,0.0504769590572897
15,0.206075026379519,0.2509081500909017,0.4307039848069323,0.1123128387226469
16,0.24803551665996523,0.31077965761370696,0.3969342055096066,0.044250620216721215
17,0.1687175935037042,0.22421294867199443,0.4376190509828421,0.16945040684145923
18,0.1611084903159619,0.22031677726268764,0.5433133904892834,0.07526134193206699
19,0.1849402335197828,0.2681826406836232,0.4050274873817689,0.1418496384148252
20,0.1891109118185278,0.2722895699826916,0.34044768703276446,0.19815183116601612
21,0.177095860839106,0.24642341356290026,0.44758202056602286,0.128898705031971
22,0.18299900867398963,0.41420371736427597,0.23311931752511975,0.16967795643661446
23,0.18076604654571427,0.23075121759694092,0.4292185014864326,0.15926423437091222
24,0.15394488027413264,0.44261317709629755,0.15746696185176431,0.24597498077780558
25,0.1923951324603164,0.2519155121094454,0.40873338333874754,0.14695597209149056
26,0.324502452182323,0.422713666617832,0.20519998398806988,0.04758389721177507
27,0.18672581813893388,0.2460047301751473,0.3756478358906227,0.1916216157952961
28,0.3355285726428586,0.4089222945848735,0.197166853824921,0.058382278947347134
29,0.19072677830594692,0.2534440244621696,0.44383229038143013,0.11199690685045345
30,0.19405763121540712,0.23711093704331201,0.466699163332616,0.10213226840866466
31,0.186431117625079,0.2861366740273481,0.36418746368251503,0.1632447446650579
32,0.09235283447481259,0.11068230698911397,0.7414260518346814,0.0555388067013918
33,0.18039069909701325,0.28910575171184727,0.370425178906054,0.16007837028508537
34,0.1009880232632866,0.1309761069225501,0.7016471125211823,0.06638875729298085
35,0.2059283551723187,0.2716360299242775,0.3871213183616294,0.13531429654177457
36,0.17162493524559116,0.23901151775591434,0.43931284894347394,0.15005069805502053
37,0.18212758575971175,0.25160978693380637,0.44352745044566577,0.12273517686081607
38,0.1628166915673009,0.17610402891913413,0.5641061969542668,0.09697308255929812
39,0.18703641540143656,0.28186703855821593,0.359752039327663,0.17134450671268453
40,0.4019463578507764,0.2568096325812375,0.28446639290025416,0.05677761666773195
41,0.19648856442540488,0.26890654259899033,0.3915547676593142,0.14305012531629063
42,0.1735499394009592,0.24916008128412373,0.46049366083363447,0.1167963184812826
43,0.1855750847797918,0.255318195280089,0.4149829219564419,0.14412379798367714
44,0.13303702897123781,0.2029653011425581,0.42553585322324144,0.23846181666296273
45,0.17933874543518882,0.24082534943834655,0.45869818507670784,0.12113772004975681
46,0.1635309803828815,0.13627306659501567,0.6503701630738253,0.04982578994827753
47,0.18105340473172699,0.27289644461352774,0.38150536418594966,0.1645447864687956
48,0.18776495448828456,0.34179465249303326,0.31479010283551934,0.15565029018316276
49,0.1613027379798125,0.27276078716593594,0.35810748491125194,0.20782898994299967
50,0.10477999170399034,0.15452008553961394,0.6770500686145848,0.06364985414181089
51,0.19614141073128366,0.2808683914324186,0.362437288144182,0.1605529096921157
52,0.10671100608437685,0.13300713489317267,0.7050779189723435,0.05520394005010718
53,0.18945943651773114,0.2679144596128999,0.349004508539516,0.19362159532985312
54,0.1592105010515896,0.1700060725957624,0.59917720107057,0.07160622528207779
55,0.18481900581089256,0.2466798974799124,0.3697440884843271,0.198757008224868
56,0.09894691445189295,0.11688193125741986,0.732889153597199,0.05128200069348824
57,0.2093184452064599,0.24710111979269767,0.39637384250126273,0.14720659249957962
58,0.09243187314314419,0.11568842938018963,0.7427919139498158,0.049087783526850524
59,0.20944334103327075,0.26208045742585623,0.3736300178154592,0.15484618372541376
60,0.1388211002766128,0.12818089270876565,0.6863946760761027,0.04660333093851879
61,0.20219322882993226,0.25925488043490214,0.42354045585446665,0.11501143488069904
62,0.14384500647426407,0.25977438267960196,0.3448685509345876,0.2515120599115464
63,0.149053383411424,0.24341569928896106,0.4762733310616666,0.1312575862379484
64,0.15714467859753442,0.24808739571585922,0.40774503173225435,0.18702289395435204
65,0.19805378935862497,0.2657309637895733,0.3557897401056797,0.18042550674612212
66,0.19149383031951486,0.23757378994514702,0.3808144276069602,0.19011795212837804
67,0.1684382347702728,0.2598515480025619,0.38350534406496656,0.18820487316219858
68,0.298254719501265,0.2671287711392138,0.2954140914572951,0.1392024179022261
69,0.2344264149645695,0.24303887599860421,0.3625684890495334,0.15996621998729285
70,0.13850141275630684,0.3884793603693608,0.1875359056705177,0.28548332120381475
71,0.2252072720375634,0.2664914624771166,0.3661969041483637,0.1421043613369562
72,0.23493870559858268,0.28978948082428935,0.2819541121817952,0.1933177013953327
73,0.1688364283657965,0.2597454174274905,0.4334934131175544,0.1379247410891585
74,0.15412245470667918,0.24173058300519767,0.42862140065584947,0.17552556163227373
75,0.21515402621446333,0.27199801787488265,0.3829617591252936,0.1298861967853603
76,0.11081306336238361,0.32489139134591805,0.24460343523540026,0.31969211005629805
77,0.1665381476006068,0.2621949580671562,0.395479889974396,0.17578700435784106
78,0.13222115501872647,0.22918395753326035,0.4849206105354078,0.15367427691260535
79,0.19142240480231412,0.2749464438373624,0.3902727089587581,0.14335844240156553
80,0.16773457336925138,0.3005264282787234,0.30974303408639225,0.22199596426563312
81,0.140013051153112,0.2563572144317586,0.4424933855311155,0.16113634888401404
82,0.13015695333888155,0.23446622092958788,0.3254286545579124,0.3099481711736181
83,0.19884948878386208,0.28479362692415144,0.3584370172192035,0.1579198670727829
84,0.1584656537677948,0.2402386675924626,0.4219725695265739,0.17932310911316854
85,0.21459087658190273,0.2771900554198167,0.38850593853733445,0.11971312946094623
86,0.21582831714707373,0.3389742914929972,0.3114377583628286,0.13375963299710053
87,0.20416486859240252,0.2397759017590466,0.40898861548656334,0.14707061416198747
88,0.21380778835789824,0.34373327695221745,0.27910181553414587,0.1633571191557384
89,0.21311030825460098,0.2617254021327566,0.4027128771700742,0.12245141244256828
90,0.29859198764158773,0.4025395109622964,0.16293379164705662,0.13593470974905927
91,0.1652235463609486,0.25830929512487855,0.4270158576428461,0.14945130087132663
92,0.1933441737987647,0.2623321814361891,0.2652131195070641,0.2791105252579823
93,0.21203938639412026,0.2734853478712071,0.3852490655891759,0.12922620014549677
94,0.20854864257661165,0.22039322179305906,0.40540359363051065,0.1656545419998187
95,0.19645576515527047,0.27087806699349054,0.35661141335126234,0.17605475449997673
96,0.19449257256060049,0.3238961421126082,0.25599374279094417,0.22561754253584712
97,0.16201758606255046,0.24201422348832224,0.4375932248145839,0.15837496563454345
98,0.19389659858305422,0.19649301440215425,0.5049075378395266,0.10470284917526501
99,0.18921772704507983,0.2635628978019625,0.41695600289033147,0.13026337226262602
100,0.15122098020105137,0.19382409688682015,0.47923460691757946,0.17572031599454907
101,0.2028173802108406,0.26040691435680885,0.39804689674994576,0.13872880868240495
102,0.18321711681442107,0.3133163458895086,0.29855570197523523,0.20491083532083526
103,0.16797432661208822,0.2623860707371669,0.39387734712477174,0.17576225552597305
104,0.19185528191194456,0.34317021516926466,0.25917333361248607,0.20580116930630482
105,0.18791605332281666,0.28129528054345754,0.392787576902961,0.13800108923076468
106,0.12930866992709514,0.14574234082200285,0.6468651653616914,0.07808382388921073
107,0.19921520827479683,0.29657172230944495,0.36148437066922773,0.1427286987465305
108,0.2363184725289637,0.3015251565185508,0.3261478731383373,0.13600849781414806
109,0.2084719844627618,0.2733836834098052,0.3679241790176151,0.15022015310981776
110,0.15197484203985384,0.32383255357287893,0.3110689784653972,0.21312362592186995
111,0.19412851557668748,0.25300588055024553,0.4100882870084457,0.1427773168646213
112,0.22202348452740417,0.2886072701613076,0.3314297988899424,0.15793944642134577
113,0.19717994619531998,0.24499806457272444,0.40934105129587306,0.14848093793608272
114,0.21499319571629147,0.33765127317104904,0.21746887475634838,0.22988665635631111
115,0.16173520214016116,0.24978761494537596,0.4233452866536623,0.1651318962608004
116,0.10341884321895545,0.13356050597708197,0.6892408620919045,0.07377978871205808
117,0.19501276307326643,0.2687820192817078,0.35153223494648655,0.1846729826985393
118,0.10649438316847057,0.1352618458794122,0.7115675372689764,0.0466762336831409
119,0.19070025512397618,0.2880855604209018,0.37024192478277046,0.15097225967235137
